,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0,no checking account,18,all credits at this bank paid back duly,car (used),1049,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,7 yrs or more,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,1
1,no checking account,9,all credits at this bank paid back duly,others,2799,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,1
2,less than 0 DM,12,no credits taken/all credits paid back duly,retraining,841,less than 100 DM,4 to 7 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,unknown/no property,23,none,for free,1,unskilled-resident,0 to 2,no,no,1
3,no checking account,12,all credits at this bank paid back duly,others,2122,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,unknown/no property,39,none,for free,2-3,unskilled-resident,3 or more,no,yes,1
4,no checking account,12,all credits at this bank paid back duly,others,2171,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,car or other,38,bank,rent,2-3,unskilled-resident,0 to 2,no,yes,1
5,no checking account,10,all credits at this bank paid back duly,others,2241,unknown/no savings account,less than 1 year,35 or more,male : married/widowed,none,4 to 7 yrs,unknown/no property,48,none,for free,2-3,unskilled-resident,3 or more,no,yes,1
6,no checking account,8,all credits at this bank paid back duly,others,3398,unknown/no savings account,4 to 7 yrs,35 or more,male : married/widowed,none,7 yrs or more,unknown/no property,39,none,rent,2-3,unskilled-resident,0 to 2,no,yes,1
7,no checking account,6,all credits at this bank paid back duly,others,1361,unknown/no savings account,less than 1 year,25 to 35,male : married/widowed,none,7 yrs or more,unknown/no property,40,none,rent,1,unskilled-resident,3 or more,no,yes,1
8,200 DM or more,18,all credits at this bank paid back duly,furniture/equipment,1098,unknown/no savings account,unemployed,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,65,none,rent,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,1
9,less than 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,3758,100 to 500 DM,unemployed,35 or more,female : non-single or male : single,none,7 yrs or more,real estate,23,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
