index,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Meaning of Type of operation or tax status code,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
0,United States,21,"Mining, quarrying, and oil and gas extraction",Total,"28,643","555,174,196","61,331,381",N,"903,641","109,931","7,820,264"
1,United States,22,Utilities,Total,"17,595","531,890,695","58,922,951","17,463,405","651,234","18,452","786,823"
2,United States,23,Construction,Total,"598,065","1,366,427,090","272,546,238","60,892,595","5,669,623","2,346,798","127,049,119"
3,United States,31-33,Manufacturing,Total,"297,191","5,696,729,632","593,397,004",N,"11,214,165","344,658","16,164,062"
4,United States,42,Wholesale trade,Wholesale Trade,"419,464","7,899,978,591","362,121,460","90,683,201","5,881,913","408,487","37,187,323"
5,United States,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","355,983","5,208,023,478","287,549,597","70,704,319","4,880,666",N,N
6,United States,42,Wholesale trade,Manufacturers' sales branches and offices,"20,048","2,052,484,796","60,976,137","16,826,105","718,005",N,N
7,United States,44-45,Retail trade,Total,"1,062,083","4,219,821,871","369,001,350","90,038,805","14,703,529","1,905,147","82,494,176"
8,United States,48-49 (104),Transportation and warehousing (104),Total,"213,809","730,541,303","183,840,920","45,286,363","4,305,464","1,059,040","69,902,217"
9,United States,51,Information,Total,"138,341","1,238,463,251","269,069,624","69,449,398","3,321,226","327,795","11,784,901"
10,United States,52,Finance and insurance,Total,"468,183","3,636,114,357","523,553,280","163,717,728","6,040,880","720,598","52,045,924"
11,United States,53,Real estate and rental and leasing,Total,"354,106","487,655,249","85,325,956","20,975,180","1,923,770","2,389,906","227,427,897"
12,United States,54,"Professional, scientific, and technical services",All establishments,"856,463","1,480,277,061","581,406,127","140,837,991","8,203,735","3,212,202","142,974,538"
